Instance,name,n,b,Ïƒ,CG_LB,CG_LB_solving_time,CG_LB_setUp_time,CG_UB,CG_UB_solving_time,CG_UB_setUp_time
e,Gap
n_200_b_10_s_4,n_200_b_10_s_4,200,10,4,213588.36163357235,7.783017873764038,414.1572561264038,238291.0,36.02993297576904,36.02993297576904,0.10366584707952735
n_200_b_30_s_4,n_200_b_30_s_4,200,30,4,75319.99885307369,43.29485082626343,3242.177589893341,82625.0,42.839142084121704,42.839142084121704,0.08841151161181618
n_100_b_30_s_1,n_100_b_30_s_1,100,30,1,35747.57027356865,4.081057071685791,134.08962607383728,38477.0,6.013805866241455,6.013805866241455,0.07093665635136186
n_20_b_30_s_1,n_20_b_30_s_1,20,30,1,2215.0,0.05676984786987305,0.6092660427093506,2310.0,0.10669302940368652,0.10669302940368652,0.04112554112554113
n_20_b_50_s_3,n_20_b_50_s_3,20,50,3,2033.9999999999995,0.06221294403076172,0.6928360462188721,2044.0,0.07071900367736816,0.07071900367736816,0.004892367906066759
n_20_b_30_s_3,n_20_b_30_s_3,20,30,3,1917.5,0.03351998329162598,0.2844719886779785,2008.0,0.054862022399902344,0.054862022399902344,0.04506972111553785
n_100_b_30_s_2,n_100_b_30_s_2,100,30,2,31794.31346453167,3.4075589179992676,111.07844996452332,34332.0,7.451486110687256,7.451486110687256,0.0739160705891975
n_200_b_50_s_2,n_200_b_50_s_2,200,50,2,67576.81473062512,46.333786964416504,3473.888761997223,73555.0,245.5177719593048,245.5177719593048,0.08127503595098744
n_20_b_10_s_4,n_20_b_10_s_4,20,10,4,3091.9999999999995,0.034796953201293945,0.27144312858581543,3642.0,0.07494688034057617,0.07494688034057617,0.1510159253157607
n_200_b_10_s_3,n_200_b_10_s_3,200,10,3,483883.0833333333,0.9759249687194824,44.16093301773071,572402.0,1.7445528507232666,1.7445528507232666,0.15464466697647228
n_60_b_30_s_1,n_60_b_30_s_1,60,30,1,14581.002664298483,0.8148329257965088,19.38142704963684,15999.0,1.4055020809173584,1.4055020809173584,0.08863037287964978
n_100_b_30_s_4,n_100_b_30_s_4,100,30,4,17972.53858175606,7.978949069976807,347.89890599250793,18936.0,9.336087942123413,9.336087942123413,0.050879880557876005
n_200_b_50_s_3,n_200_b_50_s_3,200,50,3,93304.93910176517,23.50435209274292,1459.3558249473572,100307.99999999383,22.49492883682251,22.49492883682251,0.0698155770051152
n_100_b_10_s_3,n_100_b_10_s_3,100,10,3,106698.25,0.3109779357910156,7.628185987472534,125019.0,0.6052601337432861,0.6052601337432861,0.14654372535374624
n_100_b_10_s_4,n_100_b_10_s_4,100,10,4,52980.23964088396,1.2488718032836914,38.83877086639404,57922.0,3.0898489952087402,3.0898489952087402,0.08531750214281339
n_200_b_30_s_2,n_200_b_30_s_2,200,30,2,110394.82278719959,15.456769943237305,1038.241024017334,120532.0,18.151538133621216,18.151538133621216,0.08410361740285077
n_20_b_50_s_1,n_20_b_50_s_1,20,50,1,2188.0,0.1532280445098877,1.2818059921264648,2188.0,0.09770512580871582,0.09770512580871582,0.0
n_60_b_50_s_4,n_60_b_50_s_4,60,50,4,6720.5,4.882907867431641,168.99539303779602,6815.0,2.7114269733428955,2.7114269733428955,0.013866471019809245
n_60_b_30_s_3,n_60_b_30_s_3,60,30,3,17702.532081768877,0.526961088180542,13.807809114456177,18914.0,0.933974027633667,0.933974027633667,0.06405138618119503
n_60_b_50_s_3,n_60_b_50_s_3,60,50,3,10202.57818132075,1.137312889099121,25.000871181488037,10715.0,1.336313009262085,1.336313009262085,0.04782284822018194
n_60_b_30_s_2,n_60_b_30_s_2,60,30,2,11968.126954825848,0.8697311878204346,20.363005876541138,12605.0,1.3508460521697998,1.3508460521697998,0.050525430001916075
n_60_b_10_s_3,n_60_b_10_s_3,60,10,3,42639.66666666667,0.35840392112731934,1.5786948204040527,48188.0,0.1341228485107422,0.1341228485107422,0.115139315458897
n_100_b_10_s_1,n_100_b_10_s_1,100,10,1,100548.32954545453,1.3653678894042969,19.432810068130493,117133.0,2.0337789058685303,2.0337789058685303,0.14158836924304397
n_200_b_50_s_1,n_200_b_50_s_1,200,50,1,76314.20955785518,37.13837695121765,2635.1870369911194,84557.0,84.40704202651978,84.40704202651978,0.0974820587549797
n_60_b_30_s_4,n_60_b_30_s_4,60,30,4,7570.490485219268,1.556044101715088,35.07354712486267,7879.0,2.0010910034179688,2.0010910034179688,0.039155922678097775
n_60_b_10_s_2,n_60_b_10_s_2,60,10,2,44880.61904761905,0.17011189460754395,2.7918431758880615,50340.0,0.21541595458984375,0.21541595458984375,0.10845015797339982
n_20_b_50_s_4,n_20_b_50_s_4,20,50,4,1785.0,0.09829902648925781,1.4029889106750488,1826.0,0.15373611450195312,0.15373611450195312,0.022453450164293537
n_100_b_10_s_2,n_100_b_10_s_2,100,10,2,94729.0,0.421144962310791,12.452889204025269,103367.0,2.053330898284912,2.053330898284912,0.08356632194027107
n_200_b_10_s_1,n_200_b_10_s_1,200,10,1,294238.525,2.877173900604248,153.81235885620117,344076.0,12.624874114990234,12.624874114990234,0.1448443803113265
n_20_b_30_s_4,n_20_b_30_s_4,20,30,4,1722.3999999999999,0.06694912910461426,0.7518301010131836,1728.0,0.10607409477233887,0.10607409477233887,0.0032407407407408196
n_60_b_50_s_2,n_60_b_50_s_2,60,50,2,10062.759448818899,2.5248870849609375,56.44470691680908,10779.0,2.202620029449463,2.202620029449463,0.06644777355794612
n_200_b_30_s_1,n_200_b_30_s_1,200,30,1,117327.05944072937,23.63008403778076,1617.865063905716,133802.0,58.38321900367737,58.38321900367737,0.12312925486368388
n_20_b_10_s_3,n_20_b_10_s_3,20,10,3,5168.0,0.011353015899658203,0.256389856338501,5524.0,0.011710166931152344,0.011710166931152344,0.06444605358435916
n_100_b_50_s_2,n_100_b_50_s_2,100,50,2,20199.976774498133,8.124258041381836,373.38325691223145,21334.0,10.090460062026978,10.090460062026978,0.05315567758047564
n_200_b_50_s_4,n_200_b_50_s_4,200,50,4,54928.959242681034,130.0237979888916,11925.12650680542,59274.0,143.2769467830658,143.2769467830658,0.07330432832808594
n_100_b_30_s_3,n_100_b_30_s_3,100,30,3,33525.10818713453,1.9726362228393555,60.123831033706665,36048.0,6.652185916900635,6.652185916900635,0.06998701211899327
n_20_b_30_s_2,n_20_b_30_s_2,20,30,2,1982.0,0.05824398994445801,0.5802569389343262,2070.0,0.09827399253845215,0.09827399253845215,0.04251207729468599
n_200_b_10_s_2,n_200_b_10_s_2,200,10,2,343417.57777777786,2.2709498405456543,104.71144700050354,381586.99999156705,8.892030000686646,8.892030000686646,0.10002809900398264
n_20_b_50_s_2,n_20_b_50_s_2,20,50,2,1505.0,0.2664649486541748,1.0313520431518555,1505.0,0.12012410163879395,0.12012410163879395,0.0
n_100_b_50_s_1,n_100_b_50_s_1,100,50,1,20229.548214601513,10.833096981048584,452.48298501968384,22386.0,13.954722166061401,13.954722166061401,0.09633037547567619
n_60_b_50_s_1,n_60_b_50_s_1,60,50,1,8764.040552066375,1.724268913269043,39.75649881362915,9068.0,1.6854469776153564,1.6854469776153564,0.0335200096971355
n_20_b_10_s_2,n_20_b_10_s_2,20,10,2,3769.0,0.015699148178100586,0.12371206283569336,4313.0,0.04261207580566406,0.04261207580566406,0.12613030373290054
n_100_b_50_s_4,n_100_b_50_s_4,100,50,4,17699.957852507345,19.78454899787903,919.5895199775696,18343.0,8.306365966796875,8.306365966796875,0.035056541868432385
n_60_b_10_s_1,n_60_b_10_s_1,60,10,1,33949.58333333333,0.2163081169128418,4.5303051471710205,38863.0,0.4598519802093506,0.4598519802093506,0.1264291657017387
n_60_b_10_s_4,n_60_b_10_s_4,60,10,4,20241.549999999996,0.5003681182861328,12.198521137237549,22185.0,0.8792030811309814,0.8792030811309814,0.08760198332206466
n_200_b_30_s_3,n_200_b_30_s_3,200,30,3,122377.18995491655,10.3958420753479,623.4772081375122,133923.0,25.44746708869934,25.44746708869934,0.08621230143502943
n_20_b_10_s_1,n_20_b_10_s_1,20,10,1,3402.5,0.019765853881835938,0.16154003143310547,3738.0,0.04729509353637695,0.04729509353637695,0.08975387907972178
n_100_b_50_s_3,n_100_b_50_s_3,100,50,3,26973.713086043215,4.720647096633911,183.96436190605164,28657.0,6.4627649784088135,6.4627649784088135,0.05873911832909184
