Instance;name;n;b;Ïƒ;CG_LB;CG_LB_solving_time;CG_LB_setUp_time;CG_UB;CG_UB_solving_time;CG_UB_solving_time2;Gap
n_20_b_10_s_1;n_20_b_10_s_1;20;10;1;3402.5;0.019765854;0.161540031;3738;0.047295094;0.05;8.98%
n_20_b_30_s_1;n_20_b_30_s_1;20;30;1;2215;0.056769848;0.609266043;2310;0.106693029;0.11;4.11%
n_20_b_50_s_1;n_20_b_50_s_1;20;50;1;2188;0.153228045;1.281805992;2188;0.097705126;0.10;0.00%
n_20_b_10_s_2;n_20_b_10_s_2;20;10;2;3769;0.015699148;0.123712063;4313;0.042612076;0.04;12.61%
n_20_b_30_s_2;n_20_b_30_s_2;20;30;2;1982;0.05824399;0.580256939;2070;0.098273993;0.10;4.25%
n_20_b_50_s_2;n_20_b_50_s_2;20;50;2;1505;0.266464949;1.031352043;1505;0.120124102;0.12;0.00%
n_20_b_10_s_3;n_20_b_10_s_3;20;10;3;5168;0.011353016;0.256389856;5524;0.011710167;0.01;6.44%
n_20_b_30_s_3;n_20_b_30_s_3;20;30;3;1917.5;0.033519983;0.284471989;2008;0.054862022;0.05;4.51%
n_20_b_50_s_3;n_20_b_50_s_3;20;50;3;2034;0.062212944;0.692836046;2044;0.070719004;0.07;0.49%
n_20_b_10_s_4;n_20_b_10_s_4;20;10;4;3092;0.034796953;0.271443129;3642;0.07494688;0.07;15.10%
n_20_b_50_s_4;n_20_b_50_s_4;20;50;4;1785;0.098299026;1.402988911;1826;0.153736115;0.15;2.25%
n_20_b_30_s_4;n_20_b_30_s_4;20;30;4;1722.4;0.066949129;0.751830101;1728;0.106074095;0.11;0.32%
n_60_b_10_s_1;n_60_b_10_s_1;60;10;1;33949.58333;0.216308117;4.530305147;38863;0.45985198;0.46;12.64%
n_60_b_30_s_1;n_60_b_30_s_1;60;30;1;14581.00266;0.814832926;19.38142705;15999;1.405502081;1.41;8.86%
n_60_b_50_s_1;n_60_b_50_s_1;60;50;1;8764.040552;1.724268913;39.75649881;9068;1.685446978;1.69;3.35%
n_60_b_10_s_2;n_60_b_10_s_2;60;10;2;44880.61905;0.170111895;2.791843176;50340;0.215415955;0.22;10.85%
n_60_b_50_s_2;n_60_b_50_s_2;60;50;2;10062.75945;2.524887085;56.44470692;10779;2.202620029;2.20;6.64%
n_60_b_30_s_2;n_60_b_30_s_2;60;30;2;11968.12695;0.869731188;20.36300588;12605;1.350846052;1.35;5.05%
n_60_b_10_s_3;n_60_b_10_s_3;60;10;3;42639.66667;0.358403921;1.57869482;48188;0.134122849;0.13;11.51%
n_60_b_30_s_3;n_60_b_30_s_3;60;30;3;17702.53208;0.526961088;13.80780911;18914;0.933974028;0.93;6.41%
n_60_b_50_s_3;n_60_b_50_s_3;60;50;3;10202.57818;1.137312889;25.00087118;10715;1.336313009;1.34;4.78%
n_60_b_10_s_4;n_60_b_10_s_4;60;10;4;20241.55;0.500368118;12.19852114;22185;0.879203081;0.88;8.76%
n_60_b_30_s_4;n_60_b_30_s_4;60;30;4;7570.490485;1.556044102;35.07354712;7879;2.001091003;2.00;3.92%
n_60_b_50_s_4;n_60_b_50_s_4;60;50;4;6720.5;4.882907867;168.995393;6815;2.711426973;2.71;1.39%
n_100_b_10_s_1;n_100_b_10_s_1;100;10;1;100548.3295;1.365367889;19.43281007;117133;2.033778906;2.03;14.16%
n_100_b_50_s_1;n_100_b_50_s_1;100;50;1;20229.54821;10.83309698;452.482985;22386;13.95472217;13.95;9.63%
n_100_b_30_s_1;n_100_b_30_s_1;100;30;1;35747.57027;4.081057072;134.0896261;38477;6.013805866;6.01;7.09%
n_100_b_10_s_2;n_100_b_10_s_2;100;10;2;94729;0.421144962;12.4528892;103367;2.053330898;2.05;8.36%
n_100_b_30_s_2;n_100_b_30_s_2;100;30;2;31794.31346;3.407558918;111.07845;34332;7.451486111;7.45;7.39%
n_100_b_50_s_2;n_100_b_50_s_2;100;50;2;20199.97677;8.124258041;373.3832569;21334;10.09046006;10.09;5.32%
n_100_b_10_s_3;n_100_b_10_s_3;100;10;3;106698.25;0.310977936;7.628185987;125019;0.605260134;0.61;14.65%
n_100_b_30_s_3;n_100_b_30_s_3;100;30;3;33525.10819;1.972636223;60.12383103;36048;6.652185917;6.65;7.00%
n_100_b_50_s_3;n_100_b_50_s_3;100;50;3;26973.71309;4.720647097;183.9643619;28657;6.462764978;6.46;5.87%
n_100_b_10_s_4;n_100_b_10_s_4;100;10;4;52980.23964;1.248871803;38.83877087;57922;3.089848995;3.09;8.53%
n_100_b_30_s_4;n_100_b_30_s_4;100;30;4;17972.53858;7.97894907;347.898906;18936;9.336087942;9.34;5.09%
n_100_b_50_s_4;n_100_b_50_s_4;100;50;4;17699.95785;19.784549;919.58952;18343;8.306365967;8.31;3.51%
n_200_b_10_s_1;n_200_b_10_s_1;200;10;1;294238.525;2.877173901;153.8123589;344076;12.62487411;12.62;14.48%
n_200_b_30_s_1;n_200_b_30_s_1;200;30;1;117327.0594;23.63008404;1617.865064;133802;58.383219;58.38;12.31%
n_200_b_50_s_1;n_200_b_50_s_1;200;50;1;76314.20956;37.13837695;2635.187037;84557;84.40704203;84.41;9.75%
n_200_b_10_s_2;n_200_b_10_s_2;200;10;2;343417.5778;2.270949841;104.711447;381587;8.892030001;8.89;10.00%
n_200_b_30_s_2;n_200_b_30_s_2;200;30;2;110394.8228;15.45676994;1038.241024;120532;18.15153813;18.15;8.41%
n_200_b_50_s_2;n_200_b_50_s_2;200;50;2;67576.81473;46.33378696;3473.888762;73555;245.517772;245.52;8.13%
n_200_b_10_s_3;n_200_b_10_s_3;200;10;3;483883.0833;0.975924969;44.16093302;572402;1.744552851;1.74;15.46%
n_200_b_30_s_3;n_200_b_30_s_3;200;30;3;122377.19;10.39584208;623.4772081;133923;25.44746709;25.45;8.62%
n_200_b_50_s_3;n_200_b_50_s_3;200;50;3;93304.9391;23.50435209;1459.355825;100308;22.49492884;22.49;6.98%
n_200_b_10_s_4;n_200_b_10_s_4;200;10;4;213588.3616;7.783017874;414.1572561;238291;36.02993298;36.03;10.37%
n_200_b_30_s_4;n_200_b_30_s_4;200;30;4;75319.99885;43.29485083;3242.17759;82625;42.83914208;42.84;8.84%
n_200_b_50_s_4;n_200_b_50_s_4;200;50;4;54928.95924;130.023798;11925.12651;59274;143.2769468;143.28;7.33%